Name,NGC,Oost Type,Bands,Paper,Link
M4,NGC 6121,Conflicted,UBVRIJHK,"Stetson, 2014",http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/PASP/126/521
M107,NGC 6171,I,V,"Clement, 1997","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/AJ/113/1711&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
M62,NGC 6266,I,BV,"Contreras, 2010",http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/AJ/140/1766
M9,NGC 6333,II,VI,"Arellano Ferro, 2013","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/MNRAS/434/1220&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
M9,NGC 6333,II,V,"Clement, 1999","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/AJ/118/453&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
M9,NGC 6333,II,B,"Clement, 1996","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/AJ/112/618&-out.max=200&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
M9,NGC 6333,II,B,"Clement, 1991","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/AJ/101/1352&-out.max=200&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
M54,NGC 6715,Conflicted,VI,"Montiel, 2010","http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/AJ/140/1500&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa"
M15,NGC 7078,II,(UVM2),"Siegel, 2015",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/AJ/150/129
M15,NGC 7078,II,BVI,"Corwin, 2008",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/AJ/135/1459
M15,NGC 7078,II,BVRI,"Silbermann, 1995",http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/AJ/110/704
M15,NGC 7078,II,RV,"Arellano Ferro, 2006",http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J%2Fother%2FRMxAA%2F42.75
